organization-index,organization,pac,indivs,totals,Source,,
0,Northrop Grumman,10000,0,10000,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&amp;cid=N00002299,,
1,American Crystal Sugar,10000,0,10000,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&amp;cid=N00002299,,
2,Air Line Pilots Assn,10000,0,10000,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&amp;cid=N00002299,,
3,National Rural Electric Cooperative Assn,8000,0,8000,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&amp;cid=N00002299,,
4,Lockheed Martin,8000,0,8000,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&amp;cid=N00002299,,
5,National Auto Dealers Assn,7500,0,7500,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&amp;cid=N00002299,,
6,National Beer Wholesalers Assn,7500,0,7500,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&amp;cid=N00002299,,
7,National Community Pharmacists Assn,7500,0,7500,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&amp;cid=N00002299,,
8,National Assn of Insurance & Financial Advisors,7000,0,7000,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&amp;cid=N00002299,,
9,National Assn of Realtors,6000,0,6000,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&amp;cid=N00002299,,
10,American Chiropractic Assn,5250,0,5250,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&amp;cid=N00002299,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,