organization-index,organization,indiv,pac,totals
0,Prestage Farms,,,13900
1,National Cattlemenâ€™s Beef Assn,,,11000
2,North Carolina Farm Bureau,,,10800
3,Cameron Management,,,10500
4,Citizens First Bank,,,10400
5,"Rountree, Losee & Baldwin",,,10400
6,American Crystal Sugar,,,10300
7,American Society of Anesthesiologists,,,10000
8,Deere & Co,,,10000
9,Ever Republican is Crucial PAC,,,10000
10,Freedom Project,,,10000
11,Majority Cmte PAC,,,10000
12,National Assn of Realtors,,,10000
13,National Pork Producers Council,,,10000
14,National Cotton Council,,,8500
15,Altria Group,,,8063
16,Caterpillar Inc,,,8000
17,Reynolds American,,,8000
18,Bob King Automall,,,7800